rfq_id,match_id,similarity_score
facd942d-02a2-46bf-936c-e3afd39ee20d,707169f3-85cc-456b-8f77-d82423370d67,0.5
facd942d-02a2-46bf-936c-e3afd39ee20d,e118d64a-246c-4313-b48f-4318cdf92200,0.5
facd942d-02a2-46bf-936c-e3afd39ee20d,fb2c9da4-f747-4c1c-95a5-b2bb40f9ffab,0.5
140d30f7-f16d-4455-a448-516ab6616812,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,0.5
140d30f7-f16d-4455-a448-516ab6616812,e14a46c3-b349-4441-b09f-8088e5663262,0.5
140d30f7-f16d-4455-a448-516ab6616812,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,0.5
178a48ef-f870-46d7-ba3c-c94b35477459,707169f3-85cc-456b-8f77-d82423370d67,0.5
178a48ef-f870-46d7-ba3c-c94b35477459,e118d64a-246c-4313-b48f-4318cdf92200,0.5
178a48ef-f870-46d7-ba3c-c94b35477459,fb2c9da4-f747-4c1c-95a5-b2bb40f9ffab,0.5
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,140d30f7-f16d-4455-a448-516ab6616812,0.5
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,e14a46c3-b349-4441-b09f-8088e5663262,0.5
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,0.5
ca60a74b-7cdc-4098-a20c-2de916dcb66b,df6085e7-42f9-4ce3-92b0-3a7a24159a61,0.5
ca60a74b-7cdc-4098-a20c-2de916dcb66b,4867919e-2a2f-4f11-83b4-aa51c4684475,0.46
ca60a74b-7cdc-4098-a20c-2de916dcb66b,b78ef921-0ff1-4e4b-aa5d-fe99d9e3de91,0.46
df6085e7-42f9-4ce3-92b0-3a7a24159a61,ca60a74b-7cdc-4098-a20c-2de916dcb66b,0.5
df6085e7-42f9-4ce3-92b0-3a7a24159a61,4867919e-2a2f-4f11-83b4-aa51c4684475,0.46
df6085e7-42f9-4ce3-92b0-3a7a24159a61,b78ef921-0ff1-4e4b-aa5d-fe99d9e3de91,0.46
e46aa804-164c-4907-a7ca-07a99d66d1b6,094422ce-696c-482d-9927-c3cfbf347f7a,0.5
e46aa804-164c-4907-a7ca-07a99d66d1b6,29a51f3d-117e-47b4-9792-eb003831b356,0.455109
e46aa804-164c-4907-a7ca-07a99d66d1b6,1c6c26ac-9e1e-450a-b260-f1cfc4825d8e,0.454674
094422ce-696c-482d-9927-c3cfbf347f7a,e46aa804-164c-4907-a7ca-07a99d66d1b6,0.5
094422ce-696c-482d-9927-c3cfbf347f7a,29a51f3d-117e-47b4-9792-eb003831b356,0.455109
094422ce-696c-482d-9927-c3cfbf347f7a,1c6c26ac-9e1e-450a-b260-f1cfc4825d8e,0.454674
a462a4cb-bbaa-4417-b876-4b8606c6f8db,88787789-76a4-44ab-8e89-743b83d2b563,0.62698
a462a4cb-bbaa-4417-b876-4b8606c6f8db,9bc1c99a-5363-4d71-9e5d-70e7e69f988c,0.614035
a462a4cb-bbaa-4417-b876-4b8606c6f8db,b6d00da1-7e7e-44ad-b798-3c3bb216ae45,0.591921
7729084d-fc2d-41d8-a8df-891da74078f1,86008598-05ed-4532-8a70-e8ee8daf3796,0.5
7729084d-fc2d-41d8-a8df-891da74078f1,502b3359-ee17-4ecc-8046-ceb4e6559fb8,0.5
7729084d-fc2d-41d8-a8df-891da74078f1,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,7729084d-fc2d-41d8-a8df-891da74078f1,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,502b3359-ee17-4ecc-8046-ceb4e6559fb8,0.5
86008598-05ed-4532-8a70-e8ee8daf3796,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,db475b0b-e62d-4719-a502-d1effef1ed48,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,bb9852a6-a27a-40e6-80ab-22e210e73310,0.5
06bf89b8-3e0b-4be9-a611-1e656cae34eb,6246d593-0402-4d7c-9dd3-31216942f0e2,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,7729084d-fc2d-41d8-a8df-891da74078f1,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,86008598-05ed-4532-8a70-e8ee8daf3796,0.5
502b3359-ee17-4ecc-8046-ceb4e6559fb8,9114ca51-0bae-45ef-9a82-8bef4a6e9cf8,0.5
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,4beae167-8451-425d-8532-1c060167e256,0.5
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,349a1c1b-172f-445a-aefe-97a58c19b08b,0.482305
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,b5adad74-af23-4383-8e8c-0adf7024064a,0.482305
5242c623-abc6-4cc8-a1e3-dde93a899f00,4d1d8f30-346e-47a5-aed6-06a86e35f6d8,0.5
5242c623-abc6-4cc8-a1e3-dde93a899f00,e46da0fc-64a2-40da-9482-0978978d74e7,0.5
5242c623-abc6-4cc8-a1e3-dde93a899f00,03b9e7fe-5913-4662-97d0-078dfc56df27,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,5242c623-abc6-4cc8-a1e3-dde93a899f00,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,e46da0fc-64a2-40da-9482-0978978d74e7,0.5
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,03b9e7fe-5913-4662-97d0-078dfc56df27,0.5
de734972-0ed4-47d2-85ed-94c639524ef3,aa2e0c44-58f4-4162-986e-777a2925fc4a,0.46
de734972-0ed4-47d2-85ed-94c639524ef3,36f09928-cc72-441a-8f0b-5ed7ddb3049c,0.42
de734972-0ed4-47d2-85ed-94c639524ef3,cfe27274-b552-4190-9a38-9abf52000716,0.42
b48a1279-3852-4482-902f-203558c37a33,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.5
b48a1279-3852-4482-902f-203558c37a33,ee22b2f0-e7ed-4a5e-ad53-8fda934ede08,0.5
b48a1279-3852-4482-902f-203558c37a33,efd27152-cf84-4017-86d6-6b97d83fb3a2,0.5
02c609c9-52b4-49d5-b6e8-cc14787f1822,3fe05d73-7de1-4c32-ad94-991ff0ad4290,0.498708
02c609c9-52b4-49d5-b6e8-cc14787f1822,b48a1279-3852-4482-902f-203558c37a33,0.473344
02c609c9-52b4-49d5-b6e8-cc14787f1822,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.473344
3fe05d73-7de1-4c32-ad94-991ff0ad4290,02c609c9-52b4-49d5-b6e8-cc14787f1822,0.498708
3fe05d73-7de1-4c32-ad94-991ff0ad4290,b48a1279-3852-4482-902f-203558c37a33,0.472052
3fe05d73-7de1-4c32-ad94-991ff0ad4290,c6b9fba1-6df0-44d6-bb69-f04dcdfae21d,0.472052
0e375556-7947-4dc0-a628-d1674e5d1658,82456e41-801e-4f90-9263-6c96d3e72160,0.49779
0e375556-7947-4dc0-a628-d1674e5d1658,00957f2f-a340-4843-9ed8-a70ce4848bae,0.491479
0e375556-7947-4dc0-a628-d1674e5d1658,06bf89b8-3e0b-4be9-a611-1e656cae34eb,0.489011
82456e41-801e-4f90-9263-6c96d3e72160,0e375556-7947-4dc0-a628-d1674e5d1658,0.49779
82456e41-801e-4f90-9263-6c96d3e72160,00957f2f-a340-4843-9ed8-a70ce4848bae,0.493689
82456e41-801e-4f90-9263-6c96d3e72160,06bf89b8-3e0b-4be9-a611-1e656cae34eb,0.486801
2761ad98-baa2-4022-b98c-146a32b16dec,9e1ebd5b-0c7d-44f2-9bfc-e371f1b6f63f,0.46
